"ENSEMBL","SYMBOL","baseMean","log2FC_raw","lfcSE","stat","pvalue","padj","log2FC_shrunk"
"ENSG00000103254","FAM173A",955.607668903499,-1.00758449073384,0.264879434418995,-3.80393628121393,0.000142414827295763,0.0109960206954698,-0.831329908153258
"ENSG00000183044","ABAT",5307.54189321562,-1.02306036566337,0.286731583580448,-3.56800723829689,0.000359706569793557,0.0186388214518511,-0.820984345453195
"ENSG00000134602","STK26",1509.65723547671,0.997197119646924,0.286287341898224,3.483203668856,0.000495451283574652,0.0213147348395195,0.819194644907001
"ENSG00000214309","MBLAC1",112.024038816855,-0.966054390072311,0.250181924704976,-3.86140761852208,0.000112735638881938,0.00958624426094918,-0.816769765577115
"ENSG00000213145","CRIP1",195.902152885642,-1.0210021274227,0.290158205450503,-3.5187773712533,0.000433540353687562,0.0201714502742995,-0.814478509577802
"ENSG00000154099","DNAAF1",350.915606225145,-1.06085686129752,0.308377427490956,-3.44012488180131,0.000581445829943348,0.023311582858295,-0.811672453338516
"ENSG00000220201","ZGLP1",43.5968459291286,-1.01443682843803,0.283722114182825,-3.57545914727094,0.000349613769096057,0.0183117878532681,-0.804840537725287
"ENSG00000226174","TEX22",65.1019768658246,-1.04096371922608,0.306335628164079,-3.39811508528978,0.000678518701562126,0.0249804276623185,-0.803711001293052
"ENSG00000147576","ADHFE1",94.9593493736699,-0.973607790471535,0.265816540126259,-3.66270582714336,0.000249565080949063,0.01537153120534,-0.79695803999912
"ENSG00000134569","LRP4",361.747172828516,0.988450116248076,0.294407892097902,3.35741718472472,0.000786743076503519,0.0275252514246241,0.796229030066472
"ENSG00000128849","CGNL1",3001.35918758664,-1.014788002125,0.29399926828499,-3.45166846177764,0.000557131842456342,0.022814285331136,-0.794971638405295
"ENSG00000103024","NME3",3903.3136333493,-0.942385144263819,0.2472292129815,-3.81178717878432,0.000137965642069806,0.0107451241147671,-0.789302158220126
"ENSG00000168589","DYNLRB2",150.952552670031,-0.951761626375133,0.255274034827146,-3.72839183201536,0.000192705590357306,0.0129772001506407,-0.789101380516901
"ENSG00000109084","TMEM97",2490.49806237445,0.927623713744887,0.25205149996318,3.68029436000339,0.000232964869022754,0.0150111499957,0.78235432907384
"ENSG00000156650","KAT6B",6387.85591589011,0.914590618535445,0.241634893065617,3.78501054600207,0.00015370206041967,0.0115723700955662,0.780286491986387
"ENSG00000213339","QTRT1",1942.40514385968,-0.881009009799795,0.204650724528035,-4.30493960786884,1.67031295370094e-05,0.002778787930352,-0.776242876938931
"ENSG00000108515","ENO3",332.078554607865,-0.963211996087061,0.271705447227125,-3.54505957063823,0.000392524364069717,0.0191955500885657,-0.776221141877173
"ENSG00000177943","MAMDC4",310.659401681152,-0.979214744376754,0.281708027809556,-3.47599162150514,0.000508968186673518,0.0215535393094154,-0.767777935344727
"ENSG00000104883","PEX11G",417.57840860926,-0.926078024535433,0.247907779707489,-3.73557467872985,0.000187286987587437,0.012756166572828,-0.766376156856649
"ENSG00000268744","CTD-3105H18.14",8.3384031562665,-0.995218497884114,0.301333841971436,-3.30271067920228,0.0009575512765678,0.0300396077358301,-0.765035964280326
"ENSG00000187556","NANOS3",29.0045298017353,-1.04557961633222,0.32651841049922,-3.20220723460467,0.00136378848102939,0.0361919156454509,-0.764286070758192
"ENSG00000169116","PARM1",2208.84818598657,0.971677097326367,0.301715376968977,3.22050903433496,0.00127963159379516,0.035319015007169,0.763435016944316
"ENSG00000185522","LMNTD2",251.080263127037,-0.988463830472826,0.294893706514153,-3.35193260703035,0.000802495512936224,0.0276226195651897,-0.75727318734249
"ENSG00000163794","UCN",75.8951170337735,-0.994434187160621,0.294616348791655,-3.37535303536009,0.000737210547704699,0.0266242994778917,-0.756562769998158
"ENSG00000167968","DNASE1L2",105.012481279857,-1.02280144384562,0.315438386802876,-3.24247614316133,0.00118495868590631,0.0339618639050236,-0.756056372500774
"ENSG00000154188","ANGPT1",177.816453061984,0.913328460839146,0.263072688563252,3.47177225362013,0.000517034766707709,0.0217921030024357,0.750120509626447
"ENSG00000154917","RAB6B",368.973076045742,0.923139887956806,0.27166507224923,3.39808088067317,0.00067860354346846,0.0249804276623185,0.749520488882698
"ENSG00000212123","PRR22",109.298208779057,-0.986607403200081,0.298486163637153,-3.30537064491681,0.000948508758028998,0.029913093983404,-0.744583273755065
"ENSG00000159208","CIART",564.284556437946,-0.951813864785115,0.278081537524342,-3.42278697557114,0.000619826317666572,0.0239171493356108,-0.744423907958906
"ENSG00000160678","S100A1",78.28223711276,-1.0656946841975,0.341605494365928,-3.11966494033004,0.00181056861649745,0.0421464486523249,-0.740285182183084
"ENSG00000169851","PCDH7",1362.79103596113,0.923284573550315,0.27800197318038,3.32114395803675,0.000896492836600016,0.0290395590994866,0.74011816316506
"ENSG00000151376","ME3",848.38489863383,-0.943044351305451,0.274607746861331,-3.43415057325991,0.000594413904002596,0.023556938633625,-0.740049977462577
"ENSG00000189283","FHIT",521.042230907448,-0.892123976837143,0.242831236507122,-3.67384357000125,0.000238929040527589,0.0150852318547769,-0.734750316505508
"ENSG00000150773","PIH1D2",164.301813767927,-0.855148586393549,0.2144460179434,-3.98771026197957,6.6714069530162e-05,0.00671375914322355,-0.733930623939593
"ENSG00000175287","PHYHD1",1327.86703203987,-1.07473620280499,0.346954633111432,-3.09762747125446,0.00195076480063761,0.0436677213664777,-0.733161238204775
"ENSG00000066185","ZMYND12",248.413535483372,-0.877221909579708,0.231841661467259,-3.78371127962086,0.000154507047450193,0.0115723700955662,-0.732951792007583
"ENSG00000115255","REEP6",5123.83086714072,-0.971650747593209,0.295796548631335,-3.28486167972238,0.00102032448833451,0.0310281090400263,-0.730389377590881
"ENSG00000112053","SLC26A8",29.3509422805894,-0.99889312551321,0.310372114441044,-3.2183726534587,0.00128920203446719,0.0355284246821705,-0.729714665005414
"ENSG00000141933","TPGS1",118.463275122984,-1.00984260778365,0.317316064656039,-3.18245030827007,0.00146034572541599,0.0375120355792768,-0.729273299127256
"ENSG00000139998","RAB15",2608.68078863802,0.819031256141027,0.196212541158954,4.17420441783851,2.99029174026696e-05,0.00390986101776658,0.723204550273354
"ENSG00000229833","PET100",87.0598784936042,-0.897470980241285,0.254483342606397,-3.52663939041928,0.00042086956035455,0.0199516229342864,-0.72051758016388
"ENSG00000167094","TTC16",68.9790407189787,-0.954873896498452,0.292077161920606,-3.26925217370474,0.00107832152030516,0.0321397227840705,-0.720189967599179
