"ENSEMBL","SYMBOL","baseMean","log2FC_raw","lfcSE","stat","pvalue","padj","log2FC_shrunk"
"ENSG00000114416","FXR1",8663.19810765056,0.180873690937557,0.0677544968078467,2.66954518827759,0.00759540520038161,0.0496919259877413,0.159590924714554
"ENSG00000105732","ZNF574",1655.29568462373,0.179154110219901,0.0649973519416985,2.75632937139653,0.00584541018857231,0.0421194017328623,0.159552969801539
"ENSG00000099822","HCN2",125.191173072458,-1.12258015059017,0.273293976545487,-4.10759199591555,3.99805551845505e-05,0.00120364989079135,-0.159401993393709
"ENSG00000157087","ATP2B2",45.4015188917415,-0.861689464495286,0.297556573968951,-2.89588448005588,0.00378091554069413,0.0315112762992789,-0.158151873900938
"ENSG00000174839","DENND6A",2130.38878306754,-0.179166313617247,0.066966343560413,-2.67546806487372,0.00746249824334568,0.0492541381846172,-0.158143758162698
"ENSG00000259120","SMIM6",15.5216578510701,-1.06217430248624,0.304671753486822,-3.48629070575188,0.000489768458002795,0.00755010532547682,-0.157807321260191
"ENSG00000197894","ADH5",5608.45983832933,0.171080157542726,0.0535252557551115,3.19625109920915,0.00139225890500135,0.0156753826306029,0.157804773722334
"ENSG00000171819","ANGPTL7",22.7433294015002,-1.09680171691882,0.390972553305349,-2.80531640302183,0.00502672092034936,0.0379931020448178,-0.157492561289277
"ENSG00000084733","RAB10",11018.7089683793,0.174444089975621,0.0609503600172282,2.86206824580384,0.00420886268814228,0.0338341761049127,0.157266647264345
"ENSG00000136450","SRSF1",4267.41332708744,0.173919314858436,0.0621776255413385,2.79713664431921,0.00515577230394798,0.0385778401339266,0.156082622745346
"ENSG00000090060","PAPOLA",12712.0189770489,0.174014392305733,0.0626123040362214,2.77923636550838,0.00544868618870247,0.0400830865290462,0.155934731362201
"ENSG00000119682","AREL1",2627.08633047764,0.175604249357394,0.0657681103511443,2.6700516165026,0.00758395875123172,0.0496533088855313,0.155674672593768
"ENSG00000081051","AFP",114.599714471937,-1.24849869399707,0.409287981062499,-3.05041621490084,0.00228524431472733,0.0223691701692408,-0.154647860929461
"ENSG00000110497","AMBRA1",3029.93215066412,0.161986775368095,0.0547860434828912,2.95671607347737,0.00310934288917862,0.027375395162798,0.154439461778558
"ENSG00000203867","RBM20",372.188799559239,-1.89879025238879,0.312939150264703,-6.06760212259372,1.2983406223774e-09,3.36946200815973e-07,0.154247709577662
"ENSG00000138398","PPIG",5387.99292292197,0.16917711602719,0.0571956916902943,2.95786467524963,0.00309778085834592,0.0272949082712988,0.154125517433606
"ENSG00000115446","UNC50",1989.21185489175,-0.169799319749485,0.0492480961423707,-3.44783520683954,0.000565098707227736,0.00827018587603208,-0.153902998110819
"ENSG00000095319","NUP188",4460.84139991293,0.17082251811109,0.0626984302769307,2.7245102844934,0.00643969247160596,0.044884907098785,0.152797585893936
"ENSG00000136155","SCEL",9.98302184158582,-2.16854360900151,0.468210948291766,-4.63155254466664,3.62933860868488e-06,0.000200568060088509,-0.152716880995637
"ENSG00000114745","GORASP1",3202.66630962734,-0.165690541863035,0.0539362659205344,-3.07196909232001,0.00212651742709386,0.0212925135111975,-0.152228151363711
"ENSG00000121774","KHDRBS1",11984.5171795761,0.1585170087175,0.0387552244834492,4.09021005116861,4.30982691822095e-05,0.00126560540305069,0.151622575282043
"ENSG00000166926","MS4A6E",2.88207791493463,-2.34208579105083,0.540646448862441,-4.33200994102291,1.47754268781688e-05,0.000572883596685364,0.151439590702534
"ENSG00000158019","BRE",1908.98769547203,-0.169240246451216,0.0623077541947801,-2.71619878839084,0.00660362543358564,0.0456544740995058,-0.151285546890134
"ENSG00000119953","SMNDC1",1948.98381535773,0.161505735675029,0.0496648571527026,3.2519118131852,0.00114631582073465,0.0137534864680642,0.150228324078298
"ENSG00000119689","DLST",5509.04596581157,0.163300688606778,0.0566460833096012,2.8828240023984,0.0039412757967053,0.0324448866481535,0.148694703145252
"ENSG00000136695","IL36RN",5.47932699306156,-2.29493508982366,0.534649482659188,-4.29241056852676,1.76743746446827e-05,0.000655488763996276,-0.148412961062511
"ENSG00000147121","KRBOX4",626.454505767337,-0.165006118729154,0.0602156639012813,-2.74025242002926,0.00613920151126455,0.0434670026368703,-0.148345988098681
"ENSG00000132128","LRRC41",5616.0581129339,0.163245666087366,0.0574256655170512,2.84273006882077,0.00447289351494853,0.0349424079953218,0.148250779117002
"ENSG00000149571","KIRREL3",28.5607491895936,-1.09094500112017,0.237689184469891,-4.58979655954167,4.43678225168967e-06,0.00022837954159344,-0.148205271457464
"ENSG00000125944","HNRNPR",9780.04471778466,0.158886043851524,0.04936467874142,3.21861800587813,0.00128809956988712,0.0149441240902772,0.147803625834255
"ENSG00000145107","TM4SF19",12.7129021493601,-1.09924317103617,0.288239654977333,-3.81364309890884,0.000136933178149531,0.0029340717944887,-0.147387119955137
"ENSG00000184277","TM2D3",2275.49814405091,0.164546126362376,0.0616593526754809,2.66863207644098,0.00761608278330824,0.0497249144405152,0.147306314122657
"ENSG00000114784","EIF1B",1957.47215279134,-0.164708479605289,0.0616594100653982,-2.67126265772886,0.00755664910350849,0.0496132596849724,-0.147275890947604
"ENSG00000136715","SAP130",2211.45517842111,0.159027257986935,0.0519775959849482,3.05953468938784,0.00221681113387912,0.0219390816802081,0.146773189290499
"ENSG00000130055","GDPD2",41.6056014411495,-1.42681508567739,0.324583261919687,-4.39583691789515,1.10346760367994e-05,0.000462913704560158,-0.146675114146035
"ENSG00000143951","WDPCP",452.604970512483,-0.161354924798359,0.0587445325737211,-2.74672242213976,0.00601940553115371,0.0429584108683492,-0.145609263357663
"ENSG00000149243","KLHL35",548.5170092946,-0.832286884235322,0.205553158798659,-4.04901043165459,5.14346524329288e-05,0.00143486847263613,-0.145524535676093
"ENSG00000105819","PMPCB",3579.37552436271,-0.161246481933913,0.0587853316042932,-2.74297137624953,0.00608859925843126,0.0431976849875637,-0.145473309403361
"ENSG00000204740","MALRD1",525.476999982317,-2.4951154855483,0.426828034109734,-5.84571604054204,5.04393836731913e-09,9.71527612621371e-07,-0.144739737973137
"ENSG00000133069","TMCC2",121.16601904889,0.445851596975586,0.16345121670339,2.7277349533877,0.00637708248957145,0.0446047163747339,0.14438887466529
"ENSG00000111540","RAB5B",14891.9698258781,0.156073829868572,0.0512162932009393,3.04734724272684,0.00230870837716218,0.022476028891362,0.144244740334829
"ENSG00000144233","AMMECR1L",2421.18695590982,0.156536341862661,0.0535075593735199,2.92549956857364,0.00343903652890212,0.0293629463022992,0.143646697797745
"ENSG00000074054","CLASP1",3639.81604804229,0.15941670131499,0.059273067346097,2.68953014333055,0.00715526845759462,0.0479328062381797,0.143615313258423
"ENSG00000147378","FATE1",8.45459929297134,-1.00689458909054,0.300349924906208,-3.35240499695471,0.000801127313412152,0.010693437827982,-0.143383957876735
"ENSG00000138668","HNRNPD",11767.08769339,0.154219736460945,0.0524358910601228,2.94111024611209,0.00327038115333486,0.0283060133253485,0.141894231469685
"ENSG00000183307","CECR6",120.616364503079,-0.953681005531872,0.22039244022573,-4.32719472843576,1.51020439190802e-05,0.000584282748860655,-0.141881902898587
"ENSG00000145216","FIP1L1",1005.18270316898,0.1526713414694,0.0492922488353962,3.09726874055234,0.00195312722480804,0.0201418353356283,0.141776921163157
"ENSG00000122545","SEPT7",9838.78576620254,0.154851370580757,0.0552824248592883,2.80109584510637,0.00509293903469861,0.0382675406579514,0.141181888723598
"ENSG00000142039","CCDC97",3242.23636496414,0.153147283536437,0.0521552870591991,2.93637121319276,0.00332076676358511,0.0285710350797791,0.140981631726877
